Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long
547885,2020-12-29 19:17:03,371226440126102,"fraud_Medhurst, Cartwright and Ebert",personal_care,60.51,Stacy,Lambert,F,85430 Julie Trafficway Suite 792,Mulberry Grove,IL,62262,38.9311,-89.2463,1810,Race relations officer,1974-12-24,048c8b965dfcbdd9b023f6a5160beb0d,1388344623,39.205918,-88.295627
528140,2020-12-26 03:46:04,6596735789587928,fraud_Pouros-Haag,shopping_pos,2.36,Spencer,Williams,M,1145 Tony Drive Suite 080,Watertown,MN,55388,44.9595,-93.8482,5619,Licensed conveyancer,1959-01-15,828b54bd4d205f1114bce6fa8bc8f433,1388029564,44.826412,-93.239743
129300,2020-08-04 22:27:26,30551643947183,"fraud_Mante, Luettgen and Hackett",health_fitness,5.55,Morgan,Smith,F,1441 Bradley Place,Grover,NC,28073,35.1836,-81.4552,5621,Toxicologist,1973-11-14,383ac06cc8c02ef1e2c2bee329a30f77,1375655246,34.78713,-81.789226
354681,2020-11-05 11:29:52,6011388901471808,"fraud_Goldner, Kovacek and Abbott",grocery_pos,115.8,Jacqueline,Marsh,F,950 Sheryl Spurs,Dunlevy,PA,15432,40.1151,-79.8627,427,Mining engineer,1951-02-05,506ea157ec09c9f04eb3ea8bed59d33a,1383650992,39.3421,-80.375392
182576,2020-08-24 12:08:18,6011348830550197,"fraud_Turner, Ziemann and Lehner",food_dining,8.3,Samuel,Johnston,M,16285 Jessica Lights,Birmingham,AL,35229,33.4629,-86.7904,493806,Musician,1980-07-12,5646a4a1c03bf24f0dcc364e0116f7cd,1377346098,33.62733,-87.25766
173522,2020-08-21 06:13:54,630441765090,"fraud_Robel, Cummerata and Prosacco",gas_transport,60.41,Susan,Washington,F,759 Erin Mount Suite 956,May,TX,76857,31.9571,-98.9656,1791,Corporate investment banker,1965-07-26,f5dda5a218cf6ac9c983019db72a8895,1377065634,32.756363,-98.765298
292435,2020-10-09 09:53:40,3521815216091574,"fraud_Schumm, Bauch and Ondricka",grocery_pos,114.04,Wayne,Marsh,M,172 Leonard Island,Dumont,CO,80436,39.7532,-105.6356,565,Mental health nurse,1978-08-27,2c02fff2bb6b487383894a7c180e1164,1381312420,38.875742,-106.596876
476299,2020-12-14 12:55:18,3575540972310993,fraud_Jewess LLC,shopping_pos,5.35,Rachel,Villarreal,F,250 Carrie Throughway,University,MS,38677,34.3396,-89.5736,4198,Curator,2001-06-22,85075dfd03e2ef0992e1b2c57202aa1e,1387025718,33.736678000000005,-90.23363
182833,2020-08-24 13:30:29,3504178999463051,fraud_Renner Ltd,home,10.35,Drew,Garcia,M,70858 Jasmine Meadows Apt. 135,Lima,OH,45801,40.7641,-84.0973,86954,"Copywriter, advertising",1992-07-23,4f9ee429ecc233dca0256f7f88a2809d,1377351029,40.67987,-84.44099399999999
42345,2020-07-06 02:16:18,4509142395811241,fraud_Murray-Smitham,grocery_pos,131.34,Margaret,Williams,F,165 Jerry Meadows Suite 460,Surrency,GA,31563,31.6489,-82.1982,1324,"Engineer, technical sales",1926-07-12,dd1f8fcae9408ebf2a5b654b197ec573,1373076978,31.325235,-82.33109499999999
62771,2020-07-13 04:14:15,4986925034905735,"fraud_Jenkins, Hauck and Friesen",gas_transport,63.6,Erika,Gonzalez,F,907 Courtney Via Apt. 896,Irvine,KY,40336,37.6858,-83.9862,13061,"Editor, magazine features",1959-06-18,9cb8f06031eb5600d1a31dd5146530fd,1373688855,38.086252,-84.296137
457505,2020-12-10 03:00:32,213161231269724,fraud_Hackett-Lueilwitz,grocery_pos,87.29,Alyssa,Morgan,F,622 Robin Run Suite 764,Gadsden,AL,35901,34.048,-85.9246,67082,Physiological scientist,1963-02-09,7a7aab2aead4d54db9a6a48e25ed16a2,1386644432,35.034802,-85.388888
283640,2020-10-05 11:28:16,4155021259183870,fraud_Kling-Grant,grocery_net,38.46,Renee,Parrish,F,174 Jennifer Meadow Apt. 467,Mountain Park,OK,73559,34.7032,-98.9591,540,Research scientist (life sciences),1983-10-12,af0ba74248aef84c8c6e3571fe096567,1380972496,33.990504,-98.093128
129572,2020-08-04 23:54:01,30199621383748,fraud_Ankunding-Carroll,travel,1.36,Theresa,Powell,F,117 Natasha Vista Suite 936,Leonard,TX,75452,33.4044,-96.2238,4090,Sub,1977-03-23,131f739e44c6d87291f6b1fdc2bb99e9,1375660441,34.308536,-97.133883
